BEA_Summary,BEA_Detail,DnB_Share_RoUS,X_Share_US,alpha_RoUS,RoUS_Share_Used,DetailedOutput_CA_RoUS,D_cal_RoUS,RoUS_Direct_Emissions,RoUS_Output_Weight,RoUS_Emissions_Weight
212,2122A0,0.1473264502316612,0.1564721360405294,0.2,0.15464299887875577,20053083592.87954,0.48023482229710013,9630189035.7354,0.15464299887875577,0.15486645701580024
212,212310,0.15987924394526215,0.16447394258335624,0.2,0.16355500285573743,21208733457.575996,0.09895804334122905,2098774764.7073803,0.16355500285573743,0.033751135172766754
212,2123A0,0.1869994374286434,0.18292227938577543,0.2,0.18373771099434902,23825893861.65988,0.08661339828719436,2063641634.5883665,0.18373771099434902,0.03318614695029088
213,213111,0.33130276738501135,0.25256719600471356,0.2,0.2683143102807731,22854432887.1012,0.14688557203009805,3356986448.0453453,0.2683143102807731,0.23647027978540122
213,21311A,0.6686972326149887,0.7474328039952864,0.2,0.7316856897192269,62323405235.60479,0.17391930649256865,10839243416.831707,0.7316856897192269,0.7635297202145988
22,221100,0.7386697317398675,0.8213899276751647,0.2,0.8048458884881051,494307953886.202,2.1983914933174056,1086682400902.559,0.8048458884881051,0.9630975073152985
22,221200,0.1724204555638275,0.14669349582692662,0.2,0.1518388877743068,93254088776.00732,0.3623222805037778,33788034111.62472,0.1518388877743068,0.029945429688529538
22,221300,0.08890981269630499,0.031916576497908716,0.2,0.04331522373758797,26602682481.326477,0.2950753152436342,7849794919.503715,0.04331522373758797,0.0069570629961718
23,230301,0.10076487113216409,0.12745876524182545,0.2,0.12211998641989319,233769932174.21494,0.049784112480725125,11638028597.972599,0.12211998641989319,0.11477887064231293
23,230302,0.05270797242456497,0.05105207490349986,0.2,0.05138325440771289,98361130310.64632,0.03581970926873427,3523267091.0714374,0.05138325440771289,0.0347478625164106
23,233210,0.08810635976042201,0.028532101545206297,0.2,0.04044695318824944,77426159146.13683,0.04602729508902647,3563716674.629165,0.040446953188249445,0.03514679241073279
23,233230,0.051256031159384444,0.040260409372253204,0.2,0.042459533729679456,81278770258.02766,0.04957524235513126,4029414733.8687563,0.042459533729679456,0.03973969204574047
23,233240,0.11588994224374498,0.06469295813563823,0.2,0.07493235495725958,143440333147.29623,0.15362920375063707,22036624167.145233,0.07493235495725958,0.2173339593885044
23,233262,0.08810635976042201,0.06006678170847864,0.2,0.06567469731886733,125718729487.94206,0.046931346136255,5900149209.408817,0.06567469731886733,0.05818962010413458
23,2332A0,0.08810635976042201,0.1015540784181265,0.2,0.09886453468658561,189252850787.68723,0.0424125021281272,8026686936.786924,0.09886453468658561,0.07916238165665818
23,2332C0,0.07224099456701664,0.08592774165909896,0.2,0.0831903922406825,159248399232.4022,0.04951269790948635,7884817883.763207,0.0831903922406825,0.07776321258364238
23,2332D0,0.0596776098157493,0.07234896326118821,0.2,0.06981469257210043,133643774666.23256,0.04308780434113963,5758416814.229981,0.06981469257210043,0.05679179880518274
23,233411,0.1363028759030658,0.16136800473010696,0.2,0.15635497896469874,299304756733.28687,0.043085708950891914,12895757636.227905,0.15635497896469874,0.1271830950665539
23,233412,0.08310649640022479,0.047588779811112585,0.2,0.05469232312893503,104695562480.16959,0.0492474244752802,5155986806.139132,0.05469232312893503,0.0508503942633729
23,2334A0,0.06373412707281899,0.15914934121346508,0.2,0.14006629838533585,268123916758.8007,0.04095998399453842,10982351338.99343,0.14006629838533585,0.10831232051675414
311FT,311111,0.0078644783640483,0.024436563562345238,0.2,0.02112214652268585,21987843864.3794,0.031298752946844394,688192092.9449991,0.02112214652268585,0.010750621442586808
311FT,311119,0.014417831357207516,0.03325324212028371,0.2,0.02948615996766847,30694658842.219193,0.03478415736242779,1067687843.353788,0.02948615996766847,0.01667893011329012
311FT,311210,0.01554674546462001,0.0172231082385529,0.2,0.01688783568376632,17579988559.549656,0.062140384339827874,1092427245.7801926,0.01688783568376632,0.01706539771867039
311FT,311221,0.007458372460610895,0.010222646577412179,0.2,0.009669791754051922,10066110992.119043,0.5495077736813606,5531406240.908808,0.009669791754051924,0.08640909297097271
311FT,311224,0.07335208614875541,0.03481554538968397,0.2,0.04252285354149826,44265665108.14287,0.05694895951112825,2520883569.976791,0.04252285354149826,0.03938008768116319
311FT,311225,0.005646407026524689,0.009955092961766063,0.2,0.009093355774717789,9466049615.885492,0.061008999154612116,577514213.0130744,0.009093355774717787,0.00902166233158567
311FT,311230,0.0058782870128774355,0.010637092374197339,0.2,0.009685331301933359,10082287432.90706,0.3431267359323029,3459502377.584677,0.009685331301933359,0.0540427604769273
311FT,311300,0.021740121221351934,0.038878163428043816,0.2,0.03545055498670544,36903506332.37433,0.21629469873460608,7982032784.411533,0.03545055498670544,0.1246916575869227
311FT,311410,0.04318935737946947,0.03407164141520124,0.2,0.03589518460805489,37366359228.56126,0.08349299867610968,3119829381.6013036,0.03589518460805489,0.048736544623066265
311FT,311420,0.04712465534024725,0.0351817266126663,0.2,0.03757031235818249,39110142578.569534,0.11320664957778849,4427528205.829467,0.03757031235818249,0.06916481627034952
311FT,311513,0.04127682571719229,0.050239224409283585,0.2,0.04844674467086533,50432348644.885155,0.03698557999508581,1865269665.1454573,0.04844674467086533,0.029138387761049305
311FT,311514,0.038343034319806714,0.025054559952994503,0.2,0.027712254826356947,28848049680.81196,0.06587156110333833,1900266067.2617447,0.027712254826356947,0.029685085514280857
311FT,31151A,0.009487494862818125,0.04601082805220968,0.2,0.03870616141433137,40292544739.88777,0.04583609324466238,1846852837.7622266,0.03870616141433137,0.02885068852503614
311FT,311520,0.040455788374199234,0.008177697569983633,0.2,0.014633315730826754,15233066448.147705,0.04777539764671885,727765806.9391477,0.014633315730826754,0.011368823863959722
311FT,311615,0.10815053443972565,0.07088282200864565,0.2,0.07833636449486166,81547003263.43106,0.03772323476337884,3076216748.3564305,0.07833636449486166,0.04805524805640043
311FT,31161A,0.05439482356270488,0.156012087128048,0.2,0.1356886344149794,141249872709.81433,0.051809784158813536,7318125417.5553665,0.1356886344149794,0.11432040100437188
311FT,311700,0.009178674418767605,0.014515045956268098,0.2,0.013447771648768002,13998932495.774567,0.07783754362295559,1089642518.8146634,0.013447771648768002,0.01702189599039674
311FT,311810,0.022210044876019457,0.04532777940991312,0.2,0.040704232503134395,42372507355.58811,0.04154629072111645,1760420509.177909,0.040704232503134395,0.027500482304219333
311FT,3118A0,0.01312869543865649,0.027872791371133587,0.2,0.02492397218463817,25945488461.00294,0.045925175986665005,1191551123.6315463,0.02492397218463817,0.018613865504955
311FT,311910,0.006684048460709371,0.04091262013681957,0.2,0.03406690580159753,35463147881.46818,0.04541147420797458,1610433825.3528807,0.03406690580159753,0.02515745907602205
311FT,311920,0.07091437791220695,0.014480421370713896,0.2,0.02576721267901251,26823289413.21731,0.018800599529031087,504293922.30919796,0.02576721267901251,0.007877848510788918
311FT,311930,0.04082939396916264,0.01237776472069501,0.2,0.018068090570388537,18808616537.267147,0.017383375661835277,326957246.9467222,0.018068090570388537,0.005107576250684274
